,Award Mean,Award Sum,Company Count,Year,city_state,creative_employees,creative_establishments,empowerment_zone,median_household_income,performance_amount,performance_count,recipient_amount,recipient_count,regular_employees,regular_establishments,total_earned_bachelor,total_earned_graduate_degree,total_foreign,total_less_than_bachelor,total_native,total_population,Score_invented,Score_assigned,percent_creative_class,scaled_perc_creative_class,creative_establishment_ratio,company_count_perc,percent_bachelors,percent_graduate,percent_foreign_born,scaled_population,recipient_mean,performance_mean,Patents,inventor_patents
23,248636.75,994547.0,4.0,2001,fremont_ca,1916.0,204.0,0,76579.0,0.0,0.0,17532056.0,156.0,83014.0,7761.0,37876.0,23017.0,75494.0,90131.0,127919.0,203413.0,4.88398385654,4.56145959654,0.0225597550924,0.0256043805364,0.0256120527307,0.000502197112367,0.250794575697,0.152406240068,0.371136554694,12.222993674,112384.974359,0.0,641,1922
24,239870.366667,14392222.0,60.0,2001,mountainview_ca,1513.0,135.0,0,51986.0,37927865.8,36.0,80626149.0,418.0,66390.0,5025.0,233.0,42.0,84.0,1435.0,2278.0,2468.0,4.89778049457,4.60444437903,0.02228178431,0.0247903466772,0.0261627906977,0.0116279069767,0.136257309942,0.0245614035088,0.0340356564019,7.81116338503,192885.523923,1053551.82778,585,1626
25,177977.090909,7830992.0,44.0,2001,seattle_wa,19261.0,2249.0,1,45736.0,158086.65,60.0,1107640857.08,3436.0,454850.0,43374.0,133640.0,71494.0,94952.0,271128.0,468423.0,563374.0,4.72513319904,4.55229164336,0.0406255075288,0.0530942750982,0.0492953115753,0.000964425837845,0.280601853602,0.150114852749,0.16854167924,13.241698985,322363.46248,2634.7775,582,1154
26,0.0,0.0,0.0,2001,scottsvalley_ca,169.0,9.0,1,72449.0,0.0,0.0,0.0,0.0,5169.0,632.0,2213.0,1015.0,1206.0,5227.0,10312.0,11385.0,3.61212971642,4.10162824858,0.031659797677,0.0271723579948,0.0140405616225,0.0,0.261738616203,0.120047309284,0.105928853755,9.3400519785,0.0,0.0,559,115
27,257789.2,1288946.0,5.0,2001,philadelphia_pa,34707.0,2625.0,1,30746.0,5142939.82,65.0,291122431.31,2017.0,599651.0,44896.0,117270.0,74348.0,137205.0,943063.0,1380345.0,1517550.0,3.92633599141,4.40624573886,0.0547120080459,0.0730972602154,0.0552387365586,0.000105216641064,0.10335063335,0.0655232616039,0.090412177523,14.2326077503,144334.37348,79122.1510769,558,227
28,197153.969697,6506081.0,33.0,2001,boston_ma,1185.0,2822.0,1,39629.0,2456560.56,35.0,292500030.57,1406.0,404578.0,33519.0,96146.0,59287.0,151836.0,317834.0,437305.0,589141.0,4.33107897821,4.46450145395,0.00292042399134,0.00377129668336,0.0776533392037,0.000908065270631,0.203153822261,0.125271781045,0.257724381769,13.2864208228,208037.006095,70187.4445714,558,453
29,0.0,0.0,0.0,2001,neenah_wi,152.0,38.0,1,45773.0,0.0,0.0,0.0,0.0,7149.0,869.0,3088.0,1192.0,519.0,13320.0,23820.0,24507.0,4.16474282137,4.55273256736,0.0208190658814,0.0185201550995,0.0418963616318,0.0,0.175454545455,0.0677272727273,0.02117762272,10.10671407,0.0,0.0,514,237
30,150327.173913,6915050.0,46.0,2001,cleveland_oh,15335.0,1339.0,1,25928.0,15668671.74,20.0,422623158.92,1656.0,277881.0,16849.0,24663.0,11584.0,21372.0,305995.0,457021.0,478403.0,3.25208301408,4.05142816974,0.0522993288224,0.065837872074,0.0736199692105,0.00252914009237,0.0720630431098,0.0338473945337,0.0446736328995,13.0782087525,255207.22157,783433.587,503,59
31,94126.5,188253.0,2.0,2001,maplegrove_mn,0.0,5.0,0,76111.0,0.0,0.0,1201124.0,15.0,6023.0,1333.0,10329.0,3277.0,2182.0,21287.0,48161.0,50365.0,3.98699862404,4.35292161313,0.0,0.0,0.00373692077728,0.00149476831091,0.296019258877,0.0939156850944,0.0433237367219,10.8270517684,80074.9333333,0.0,430,241
32,213835.78,10691789.0,50.0,2001,losangeles_ca,70512.0,9016.0,1,36687.0,3857254.06,42.0,723849583.21,2057.0,1927747.0,181298.0,410340.0,212233.0,1512720.0,2093686.0,2182114.0,3694820.0,4.37574126484,4.29592461451,0.0352867170872,0.051193217047,0.0473743392499,0.000262723709238,0.151068068251,0.0781343016259,0.40941642624,15.1224423967,351895.762377,91839.382381,430,656
